latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.1623,123.0031,303.4,1.3,1.1,2023-01-01,0210,Terra,MODIS,56,61.03,270.7,14.8,D,2
36.7305,119.6462,311.3,1.1,1,2023-01-01,0511,Aqua,MODIS,51,61.03,274.5,13.7,D,0
36.7194,119.6367,314,1.1,1,2023-01-01,0511,Aqua,MODIS,51,61.03,274.5,15.9,D,0
36.7286,119.6343,313.1,1.1,1,2023-01-01,0511,Aqua,MODIS,58,61.03,274.6,15.3,D,0
39.5584,117.7774,303.6,1.2,1.1,2023-01-01,0512,Aqua,MODIS,56,61.03,281.2,9.2,D,0
41.1592,122.9924,313.2,1.1,1,2023-01-01,0512,Aqua,MODIS,73,61.03,275.1,18.1,D,2
41.4603,123.2916,303.3,1.1,1.1,2023-01-01,0512,Aqua,MODIS,56,61.03,273.2,11.7,D,0
42.0755,121.7438,302.3,1,1,2023-01-01,0513,Aqua,MODIS,51,61.03,273.1,9.5,D,2
40.6611,111.0204,305.5,2.5,1.5,2023-01-01,0513,Aqua,MODIS,62,61.03,272.6,40.6,D,0
22.5303,109.5444,313.8,3.1,1.7,2023-01-01,0646,Aqua,MODIS,74,61.03,287.8,62.4,D,0
22.5658,109.4494,300.9,3,1.7,2023-01-01,0646,Aqua,MODIS,43,61.03,289,17.7,D,0
23.6905,111.553,302.9,4.4,1.9,2023-01-01,0646,Aqua,MODIS,54,61.03,288.1,49.3,D,0
23.6932,111.5442,300.4,4.4,1.9,2023-01-01,0646,Aqua,MODIS,37,61.03,287.9,37.4,D,0
22.4055,99.6235,312.2,1,1,2023-01-01,0646,Aqua,MODIS,72,61.03,296.7,9.4,D,0
23.1052,100.3606,300.1,1,1,2023-01-01,0646,Aqua,MODIS,11,61.03,286,3.3,D,2
25.1548,110.0494,301.4,3.6,1.8,2023-01-01,0646,Aqua,MODIS,46,61.03,287,27.3,D,0
22.5438,109.5388,306.5,3.1,1.7,2023-01-01,0646,Aqua,MODIS,36,61.03,288.3,30.9,D,0
22.5519,109.4558,300.7,3,1.7,2023-01-01,0646,Aqua,MODIS,41,61.03,288.3,16.5,D,0
27.4044,101.2847,306.9,1.1,1,2023-01-01,0647,Aqua,MODIS,58,61.03,288.9,7.7,D,0
36.3601,95.2584,311.8,1.1,1,2023-01-01,0650,Aqua,MODIS,40,61.03,278.1,11.4,D,0
36.331,95.2538,313.8,1.1,1,2023-01-01,0650,Aqua,MODIS,47,61.03,275.5,13.7,D,0
36.3598,95.1979,319,1.1,1,2023-01-01,0650,Aqua,MODIS,69,61.03,279.5,18.5,D,0
36.3636,95.1187,301.2,1.1,1,2023-01-01,0650,Aqua,MODIS,30,61.03,276.6,5.9,D,0
36.3935,95.2445,306.9,1.1,1,2023-01-01,0650,Aqua,MODIS,61,61.03,278.9,9,D,0
36.3803,95.1631,302.4,1.1,1,2023-01-01,0650,Aqua,MODIS,23,61.03,276.3,5.2,D,0
36.3946,95.1351,301.9,1.1,1,2023-01-01,0650,Aqua,MODIS,0,61.03,277.2,5.3,D,0
36.3961,95.086,300.1,1.1,1,2023-01-01,0650,Aqua,MODIS,13,61.03,279.7,5.6,D,0
39.5616,94.2403,301.2,1.1,1,2023-01-01,0651,Aqua,MODIS,38,61.03,272.4,7.6,D,0
